num_SKU,skillCost,VNS_run_time,VNS_best_cost,CaseID,FailureRates,utilization_rate,holding_cost_min,machineCost,ServiceRates,holding_costs,penalty_cost,VNS_best_priority,neighbors_structures
10,100,12391.382761955261,103261.56583167223,Case: 0019,"[0.0906369248492309, 0.08161762927953106, 0.21592850352890902, 0.19545634668581383, 0.0036888758723807777, 0.03274508456802259, 0.21862364547909088, 0.0737474292882389, 0.08318975190051899, 0.004365808548263056]",0.65,1,10000,"[0.10996779690425798, 2.04680515776776, 1.88736914551073, 0.4153515817123458, 0.0016884378388859263, 0.06075727351786341, 2.5414676315178206, 0.055833590016429374, 0.1850607599825299, 0.00927326470064796]","[181.89889304442823, 1000.0, 725.9688071653321, 387.58935501535115, 134.6554936953114, 289.4718713675634, 806.4661427198066, 178.4148188025602, 391.4378590915375, 315.64292211870605]",28200.295431708866,"[7, 3, 2, 4, 9, 8, 2, 8, 6, 7]",_013
20,100,11929.266792058945,502861.6817019262,Case: 0022,"[0.20098987924896647, 0.06522156778502702, 0.024439695916407985, 0.011585874349435046, 0.07193722439466484, 0.03553639353810447, 0.0010729390774776569, 0.03927583189368288, 0.04141552199488014, 0.0005455344691903801, 0.01832917069524063, 0.01528089805285754, 0.04899328875297068, 0.008197263802794093, 0.0322797722545274, 0.21000930478167676, 0.00032688644228809165, 0.00951127911857245, 0.11558455555035185, 0.04946711788088328]",0.8,1,100000,"[0.22583944799959493, 0.2943428808506016, 0.14787429356054224, 0.045322365856200156, 0.24066527890086528, 0.46481172516590413, 0.006804296760538573, 0.5843727796564988, 0.17089710837276598, 0.011976750124481007, 0.17473531297395478, 0.35160552328517336, 0.5561687084492176, 0.09578658896843173, 0.3948046932676345, 0.7028437141786761, 0.0007485877350063664, 0.29227112800022365, 0.4530609432485239, 0.32443343851453516]","[58.118114721147535, 297.2827716873855, 396.9589597769828, 243.9478453846884, 265.4492021914395, 679.7128550628206, 438.78756833296654, 745.6299780151064, 315.13415136923436, 836.7942107868823, 575.1019205962223, 933.5650696682153, 615.4014727583225, 602.2653226119431, 671.6148960049892, 253.34932073579216, 168.91321568753372, 985.6688726941106, 328.40241820686174, 486.4522193973242]",16817.197139997286,"[19, 8, 15, 10, 10, 1, 17, 6, 12, 19, 1, 8, 9, 16, 9, 7, 19, 15, 6, 9]",_013
20,100,34976.83822798729,52410.04092120275,Case: 0018,"[0.006989162087754262, 0.11799319739846362, 0.05293222926109342, 0.008600032617645536, 0.10806151202970621, 0.011825678001407155, 0.05397694997167652, 0.05343259295450785, 0.018650874430844358, 0.02998919896943028, 0.033250073442913954, 0.010517730001021786, 0.09477801120733728, 0.06337208863355442, 0.020536386232014626, 0.014687650177572849, 0.08696626376101947, 0.12523804373277958, 0.057917309565900646, 0.030285015523356062]",0.65,1,10000,"[0.27312175158562907, 0.7757043598928178, 0.1740565288623772, 0.08043761368199208, 0.391789397251738, 0.46965399387430223, 0.40278088491104136, 1.0890725769900074, 0.158775701655619, 0.21953423915621983, 0.20634536506553666, 0.04665993706707426, 0.8426811865361622, 0.1433756275036551, 0.17650020030039357, 0.05560897054935492, 0.4692625644461452, 0.6618600587551096, 0.424149280278705, 0.33449495508667954]","[1000.0, 291.38496956045935, 143.54132487443547, 374.2058539381908, 143.52342650215851, 976.1573972461422, 312.8494042455535, 665.3247897191268, 291.3430263995017, 328.9323585200458, 208.90115939793932, 179.72166796383283, 293.0312816111161, 86.66046133758275, 296.8261537524817, 181.41516859019004, 195.96595685966776, 218.74601953953592, 334.04403197047293, 388.79615400697355]",13669.771823965666,"[6, 5, 17, 11, 15, 2, 12, 4, 14, 17, 16, 19, 11, 18, 8, 19, 11, 9, 3, 3]",_014
10,100,31991.775375127792,104022.65201097197,Case: 0019,"[0.0906369248492309, 0.08161762927953106, 0.21592850352890902, 0.19545634668581383, 0.0036888758723807777, 0.03274508456802259, 0.21862364547909088, 0.0737474292882389, 0.08318975190051899, 0.004365808548263056]",0.65,1,10000,"[0.10996779690425798, 2.04680515776776, 1.88736914551073, 0.4153515817123458, 0.0016884378388859263, 0.06075727351786341, 2.5414676315178206, 0.055833590016429374, 0.1850607599825299, 0.00927326470064796]","[181.89889304442823, 1000.0, 725.9688071653321, 387.58935501535115, 134.6554936953114, 289.4718713675634, 806.4661427198066, 178.4148188025602, 391.4378590915375, 315.64292211870605]",28200.295431708866,"[5, 3, 4, 4, 9, 6, 2, 8, 5, 8]",_014
20,100,14867.07512497902,466481.39939197584,Case: 0022,"[0.20098987924896647, 0.06522156778502702, 0.024439695916407985, 0.011585874349435046, 0.07193722439466484, 0.03553639353810447, 0.0010729390774776569, 0.03927583189368288, 0.04141552199488014, 0.0005455344691903801, 0.01832917069524063, 0.01528089805285754, 0.04899328875297068, 0.008197263802794093, 0.0322797722545274, 0.21000930478167676, 0.00032688644228809165, 0.00951127911857245, 0.11558455555035185, 0.04946711788088328]",0.8,1,100000,"[0.22583944799959493, 0.2943428808506016, 0.14787429356054224, 0.045322365856200156, 0.24066527890086528, 0.46481172516590413, 0.006804296760538573, 0.5843727796564988, 0.17089710837276598, 0.011976750124481007, 0.17473531297395478, 0.35160552328517336, 0.5561687084492176, 0.09578658896843173, 0.3948046932676345, 0.7028437141786761, 0.0007485877350063664, 0.29227112800022365, 0.4530609432485239, 0.32443343851453516]","[58.118114721147535, 297.2827716873855, 396.9589597769828, 243.9478453846884, 265.4492021914395, 679.7128550628206, 438.78756833296654, 745.6299780151064, 315.13415136923436, 836.7942107868823, 575.1019205962223, 933.5650696682153, 615.4014727583225, 602.2653226119431, 671.6148960049892, 253.34932073579216, 168.91321568753372, 985.6688726941106, 328.40241820686174, 486.4522193973242]",16817.197139997286,"[16, 8, 12, 19, 14, 6, 19, 7, 2, 13, 9, 14, 8, 8, 4, 8, 19, 8, 2, 12]",_014
20,100,11362.533404111862,52520.378314344634,Case: 0018,"[0.006989162087754262, 0.11799319739846362, 0.05293222926109342, 0.008600032617645536, 0.10806151202970621, 0.011825678001407155, 0.05397694997167652, 0.05343259295450785, 0.018650874430844358, 0.02998919896943028, 0.033250073442913954, 0.010517730001021786, 0.09477801120733728, 0.06337208863355442, 0.020536386232014626, 0.014687650177572849, 0.08696626376101947, 0.12523804373277958, 0.057917309565900646, 0.030285015523356062]",0.65,1,10000,"[0.27312175158562907, 0.7757043598928178, 0.1740565288623772, 0.08043761368199208, 0.391789397251738, 0.46965399387430223, 0.40278088491104136, 1.0890725769900074, 0.158775701655619, 0.21953423915621983, 0.20634536506553666, 0.04665993706707426, 0.8426811865361622, 0.1433756275036551, 0.17650020030039357, 0.05560897054935492, 0.4692625644461452, 0.6618600587551096, 0.424149280278705, 0.33449495508667954]","[1000.0, 291.38496956045935, 143.54132487443547, 374.2058539381908, 143.52342650215851, 976.1573972461422, 312.8494042455535, 665.3247897191268, 291.3430263995017, 328.9323585200458, 208.90115939793932, 179.72166796383283, 293.0312816111161, 86.66046133758275, 296.8261537524817, 181.41516859019004, 195.96595685966776, 218.74601953953592, 334.04403197047293, 388.79615400697355]",13669.771823965666,"[8, 5, 14, 13, 11, 2, 3, 5, 16, 16, 13, 18, 10, 18, 16, 18, 7, 11, 10, 10]",_015
10,100,11150.952771902084,103208.8224874332,Case: 0019,"[0.0906369248492309, 0.08161762927953106, 0.21592850352890902, 0.19545634668581383, 0.0036888758723807777, 0.03274508456802259, 0.21862364547909088, 0.0737474292882389, 0.08318975190051899, 0.004365808548263056]",0.65,1,10000,"[0.10996779690425798, 2.04680515776776, 1.88736914551073, 0.4153515817123458, 0.0016884378388859263, 0.06075727351786341, 2.5414676315178206, 0.055833590016429374, 0.1850607599825299, 0.00927326470064796]","[181.89889304442823, 1000.0, 725.9688071653321, 387.58935501535115, 134.6554936953114, 289.4718713675634, 806.4661427198066, 178.4148188025602, 391.4378590915375, 315.64292211870605]",28200.295431708866,"[7, 4, 2, 6, 9, 7, 3, 8, 6, 8]",_015
20,100,12042.83504486084,475283.47720805346,Case: 0022,"[0.20098987924896647, 0.06522156778502702, 0.024439695916407985, 0.011585874349435046, 0.07193722439466484, 0.03553639353810447, 0.0010729390774776569, 0.03927583189368288, 0.04141552199488014, 0.0005455344691903801, 0.01832917069524063, 0.01528089805285754, 0.04899328875297068, 0.008197263802794093, 0.0322797722545274, 0.21000930478167676, 0.00032688644228809165, 0.00951127911857245, 0.11558455555035185, 0.04946711788088328]",0.8,1,100000,"[0.22583944799959493, 0.2943428808506016, 0.14787429356054224, 0.045322365856200156, 0.24066527890086528, 0.46481172516590413, 0.006804296760538573, 0.5843727796564988, 0.17089710837276598, 0.011976750124481007, 0.17473531297395478, 0.35160552328517336, 0.5561687084492176, 0.09578658896843173, 0.3948046932676345, 0.7028437141786761, 0.0007485877350063664, 0.29227112800022365, 0.4530609432485239, 0.32443343851453516]","[58.118114721147535, 297.2827716873855, 396.9589597769828, 243.9478453846884, 265.4492021914395, 679.7128550628206, 438.78756833296654, 745.6299780151064, 315.13415136923436, 836.7942107868823, 575.1019205962223, 933.5650696682153, 615.4014727583225, 602.2653226119431, 671.6148960049892, 253.34932073579216, 168.91321568753372, 985.6688726941106, 328.40241820686174, 486.4522193973242]",16817.197139997286,"[18, 12, 2, 19, 7, 2, 19, 15, 16, 19, 18, 3, 4, 10, 14, 4, 19, 16, 10, 15]",_015
20,100,5554.3615028858185,52838.54722246143,Case: 0018,"[0.006989162087754262, 0.11799319739846362, 0.05293222926109342, 0.008600032617645536, 0.10806151202970621, 0.011825678001407155, 0.05397694997167652, 0.05343259295450785, 0.018650874430844358, 0.02998919896943028, 0.033250073442913954, 0.010517730001021786, 0.09477801120733728, 0.06337208863355442, 0.020536386232014626, 0.014687650177572849, 0.08696626376101947, 0.12523804373277958, 0.057917309565900646, 0.030285015523356062]",0.65,1,10000,"[0.27312175158562907, 0.7757043598928178, 0.1740565288623772, 0.08043761368199208, 0.391789397251738, 0.46965399387430223, 0.40278088491104136, 1.0890725769900074, 0.158775701655619, 0.21953423915621983, 0.20634536506553666, 0.04665993706707426, 0.8426811865361622, 0.1433756275036551, 0.17650020030039357, 0.05560897054935492, 0.4692625644461452, 0.6618600587551096, 0.424149280278705, 0.33449495508667954]","[1000.0, 291.38496956045935, 143.54132487443547, 374.2058539381908, 143.52342650215851, 976.1573972461422, 312.8494042455535, 665.3247897191268, 291.3430263995017, 328.9323585200458, 208.90115939793932, 179.72166796383283, 293.0312816111161, 86.66046133758275, 296.8261537524817, 181.41516859019004, 195.96595685966776, 218.74601953953592, 334.04403197047293, 388.79615400697355]",13669.771823965666,"[10, 8, 13, 19, 12, 5, 5, 4, 10, 10, 8, 19, 9, 15, 11, 17, 12, 6, 7, 4]",_01
10,100,25277.882427930832,103140.13789005473,Case: 0019,"[0.0906369248492309, 0.08161762927953106, 0.21592850352890902, 0.19545634668581383, 0.0036888758723807777, 0.03274508456802259, 0.21862364547909088, 0.0737474292882389, 0.08318975190051899, 0.004365808548263056]",0.65,1,10000,"[0.10996779690425798, 2.04680515776776, 1.88736914551073, 0.4153515817123458, 0.0016884378388859263, 0.06075727351786341, 2.5414676315178206, 0.055833590016429374, 0.1850607599825299, 0.00927326470064796]","[181.89889304442823, 1000.0, 725.9688071653321, 387.58935501535115, 134.6554936953114, 289.4718713675634, 806.4661427198066, 178.4148188025602, 391.4378590915375, 315.64292211870605]",28200.295431708866,"[6, 2, 2, 4, 9, 7, 3, 8, 5, 8]",_01
20,100,6344.112237215042,476583.950946687,Case: 0022,"[0.20098987924896647, 0.06522156778502702, 0.024439695916407985, 0.011585874349435046, 0.07193722439466484, 0.03553639353810447, 0.0010729390774776569, 0.03927583189368288, 0.04141552199488014, 0.0005455344691903801, 0.01832917069524063, 0.01528089805285754, 0.04899328875297068, 0.008197263802794093, 0.0322797722545274, 0.21000930478167676, 0.00032688644228809165, 0.00951127911857245, 0.11558455555035185, 0.04946711788088328]",0.8,1,100000,"[0.22583944799959493, 0.2943428808506016, 0.14787429356054224, 0.045322365856200156, 0.24066527890086528, 0.46481172516590413, 0.006804296760538573, 0.5843727796564988, 0.17089710837276598, 0.011976750124481007, 0.17473531297395478, 0.35160552328517336, 0.5561687084492176, 0.09578658896843173, 0.3948046932676345, 0.7028437141786761, 0.0007485877350063664, 0.29227112800022365, 0.4530609432485239, 0.32443343851453516]","[58.118114721147535, 297.2827716873855, 396.9589597769828, 243.9478453846884, 265.4492021914395, 679.7128550628206, 438.78756833296654, 745.6299780151064, 315.13415136923436, 836.7942107868823, 575.1019205962223, 933.5650696682153, 615.4014727583225, 602.2653226119431, 671.6148960049892, 253.34932073579216, 168.91321568753372, 985.6688726941106, 328.40241820686174, 486.4522193973242]",16817.197139997286,"[13, 8, 4, 19, 12, 4, 19, 4, 12, 13, 8, 8, 9, 5, 5, 12, 19, 10, 3, 11]",_01
20,100,11468.21533703804,52790.60247117306,Case: 0018,"[0.006989162087754262, 0.11799319739846362, 0.05293222926109342, 0.008600032617645536, 0.10806151202970621, 0.011825678001407155, 0.05397694997167652, 0.05343259295450785, 0.018650874430844358, 0.02998919896943028, 0.033250073442913954, 0.010517730001021786, 0.09477801120733728, 0.06337208863355442, 0.020536386232014626, 0.014687650177572849, 0.08696626376101947, 0.12523804373277958, 0.057917309565900646, 0.030285015523356062]",0.65,1,10000,"[0.27312175158562907, 0.7757043598928178, 0.1740565288623772, 0.08043761368199208, 0.391789397251738, 0.46965399387430223, 0.40278088491104136, 1.0890725769900074, 0.158775701655619, 0.21953423915621983, 0.20634536506553666, 0.04665993706707426, 0.8426811865361622, 0.1433756275036551, 0.17650020030039357, 0.05560897054935492, 0.4692625644461452, 0.6618600587551096, 0.424149280278705, 0.33449495508667954]","[1000.0, 291.38496956045935, 143.54132487443547, 374.2058539381908, 143.52342650215851, 976.1573972461422, 312.8494042455535, 665.3247897191268, 291.3430263995017, 328.9323585200458, 208.90115939793932, 179.72166796383283, 293.0312816111161, 86.66046133758275, 296.8261537524817, 181.41516859019004, 195.96595685966776, 218.74601953953592, 334.04403197047293, 388.79615400697355]",13669.771823965666,"[9, 3, 12, 9, 11, 1, 4, 4, 13, 9, 16, 19, 2, 19, 3, 18, 4, 3, 2, 2]",_0234
10,100,22800.729398965836,103590.21686738577,Case: 0019,"[0.0906369248492309, 0.08161762927953106, 0.21592850352890902, 0.19545634668581383, 0.0036888758723807777, 0.03274508456802259, 0.21862364547909088, 0.0737474292882389, 0.08318975190051899, 0.004365808548263056]",0.65,1,10000,"[0.10996779690425798, 2.04680515776776, 1.88736914551073, 0.4153515817123458, 0.0016884378388859263, 0.06075727351786341, 2.5414676315178206, 0.055833590016429374, 0.1850607599825299, 0.00927326470064796]","[181.89889304442823, 1000.0, 725.9688071653321, 387.58935501535115, 134.6554936953114, 289.4718713675634, 806.4661427198066, 178.4148188025602, 391.4378590915375, 315.64292211870605]",28200.295431708866,"[7, 4, 4, 6, 9, 7, 5, 8, 6, 8]",_0234
