CaseID,FailureRates,ServiceRates,VNS_best_cost,VNS_best_priority,VNS_run_time,holding_cost_min,holding_costs,lamda,machineCost,num_SKU,penalty_cost,skillCost,utilization_rate,var_level,global_best_cost,global_best_priority,num_priority_class,num_assignment_class,used_server,min_server,Server_cost,EBH_cost,FCFS_cost,SPT_cost,H_rule_cost,HMU_rule_cost
Case: 0076,"[0.0071292742, 0.0561240911, 0.0139035388, 0.0761436908, 0.0086188667, 0.000911718, 0.0327223185, 0.0242668754, 0.1262556982, 0.0121466424, 0.0234781682, 0.0105215181, 0.0392734452, 0.0362727378, 0.0169432248, 0.1904491813, 0.1084840487, 0.1305433083, 0.0126528989, 0.0731587545]","[0.2142384179, 0.2021265007, 0.0308357824, 0.0641726763, 0.2538794366, 0.0020817239, 0.0305820727, 0.545132719, 0.5083446688, 0.0421436326, 0.0768096889, 0.1440376733, 0.0461850583, 0.075812505, 0.1091106367, 0.3650058381, 0.1271148893, 0.2791642786, 0.6238421288, 0.3608945548]",108949.9517298059,"[5, 10, 17, 17, 6, 19, 17, 13, 2, 13, 14, 13, 15, 11, 2, 2, 13, 8, 3, 11]",50988.3835217953,1,"[892.6236400399, 368.781173409, 202.893961714, 44.9407610333, 857.1194358385, 271.4442275183, 144.7310537187, 862.622460084, 308.2785023297, 295.1206696711, 289.2025272226, 739.1261627506, 109.4752517557, 196.4365593371, 443.5154531148, 187.1958586155, 149.570493527, 257.3998421522, 979.7594188549, 446.0960601785]",0.5,10000,20,13656.6280502631,100,0.8,0.05,108949.9517298059,"[5, 10, 17, 17, 6, 19, 17, 13, 2, 13, 14, 13, 15, 11, 2, 2, 13, 8, 3, 11]",12,1.6666666667,9,9,90000,18949.9517298059,200248.4957076643,121382.2638370472,1340983.9948124113,1259197.6399834496
Case: 0079,"[0.0235808113, 0.1690100322, 0.0289119209, 0.0444767111, 0.025685129, 0.0093994308, 0.0371960663, 0.0607859466, 0.0024732849, 0.0125914512, 0.0747317608, 0.0040667138, 0.0003965414, 0.0914345644, 0.0566130104, 0.0676020001, 0.0158162454, 0.0466986553, 0.0538596066, 0.1746701175]","[0.1158449896, 2.437429992, 0.0612431795, 0.7978686489, 0.2294730053, 0.0884873561, 0.1492249014, 0.0940452564, 0.0226135222, 0.0895753099, 1.5973110907, 0.0563567511, 0.0026885604, 0.3383823935, 1.7413725181, 0.7405411988, 0.0535122198, 0.1656423824, 0.3393155772, 0.3979649567]",73912.2206363735,"[15, 5, 17, 6, 10, 12, 11, 15, 15, 9, 3, 7, 18, 7, 5, 7, 17, 15, 7, 8]",47354.1473350525,100,"[327.5761316019, 688.2406769591, 224.0939480691, 778.5815143631, 508.4106867369, 565.2396685738, 344.0665253689, 196.3310482363, 558.4950689382, 463.7855217947, 817.6043116193, 701.1682201306, 411.6334137849, 272.0597428735, 965.7972069655, 591.8809141234, 248.0658410074, 260.4325815442, 373.7933207055, 257.3979750724]",0.5,10000,20,24016.7139565509,100,0.8,0.05,73912.2206363735,"[15, 5, 17, 6, 10, 12, 11, 15, 15, 9, 3, 7, 18, 7, 5, 7, 17, 15, 7, 8]",12,1.6666666667,5,5,50000,23912.2206363735,183129.8555035255,76329.8038217451,1325229.3854628343,1704472.2631148412
Case: 0080,"[0.2807800677, 0.1189329704, 0.0389638263, 0.0761449661, 0.0283515326, 0.1235513681, 0.0633912264, 0.0264130295, 0.159832542, 0.0836384707]","[0.2972504865, 0.2704258412, 0.0508983021, 0.0626837627, 0.0809929104, 0.4084162091, 0.0529460397, 0.0173929605, 0.1764410952, 0.2316708004]",110432.217372229,"[3, 2, 7, 7, 4, 3, 7, 9, 5, 3]",41668.6129140854,100,"[248.994879294, 568.8322578349, 266.2321002384, 211.2954260318, 739.4438342953, 1000.0, 204.3932152296, 202.6955733459, 250.8156331772, 695.8721571298]",0.5,10000,10,21257.2335831864,100,0.8,0.05,110432.217372229,"[3, 2, 7, 7, 4, 3, 7, 9, 5, 3]",6,1.6666666667,9,9,90000,20432.217372229,191797.7673487215,123933.1365581269,934435.5932325799,1035925.8341378539
Case: 0117,"[0.0037586028, 0.0432682823, 0.0608441629, 0.0152182007, 0.0421895361, 0.1415001811, 0.0162212545, 0.0304102114, 0.0550380808, 0.0508502759, 0.0378271817, 0.0010835036, 0.0299867766, 0.0328943704, 0.0124515714, 0.0556315625, 0.0047193826, 0.0308772282, 0.1940495774, 0.1411800571]","[0.0050692724, 0.1155086709, 0.4674177301, 0.0343767641, 0.3842875286, 2.5735750982, 0.0260919936, 0.5465136012, 0.3498177542, 0.3010329195, 0.1153734456, 0.0260429847, 0.1457127316, 2.8930216041, 2.1661465201, 0.4062478353, 0.066090336, 0.1429431668, 2.2782302109, 3.458157831]",74445.0630760042,"[15, 11, 7, 14, 9, 2, 14, 8, 7, 10, 11, 15, 11, 9, 5, 5, 7, 9, 5, 3]",62876.0928900242,1,"[63.1110860526, 126.9740781374, 390.1473087042, 195.2456584297, 441.3474109381, 603.8246370982, 85.3125385505, 574.3344297947, 336.7405808971, 338.196443116, 157.9603285123, 710.8437344195, 238.7948047764, 958.1199623258, 999.317492379, 422.6039590781, 578.4978504217, 241.6560583101, 462.0914267286, 726.7321797692]",0.5,10000,20,23745.960147704,100,0.8,0.05,74445.0630760042,"[15, 11, 7, 14, 9, 2, 14, 8, 7, 10, 11, 15, 11, 9, 5, 5, 7, 9, 5, 3]",10,2.0,5,5,50000,24445.0630760042,297925.4666313396,73957.3191796113,2420170.025924875,2499470.1360118873
Case: 0118,"[0.1233768982, 0.0105030747, 0.042861476, 0.0488803635, 0.1457226597, 0.0761706992, 0.3945985198, 0.0669870534, 0.0435829932, 0.0473162623]","[0.439139001, 0.0085283697, 0.0164599755, 0.1193579844, 0.819951034, 0.0403968528, 1.185039805, 0.2905675808, 0.1965118698, 0.0756567252]",115070.2851691214,"[3, 9, 9, 4, 2, 6, 2, 3, 3, 5]",37134.6895549297,1,"[728.2548055545, 171.5061763442, 97.192398827, 513.8437268352, 1000.0, 92.3503694965, 639.2067649643, 805.0460447428, 828.0335992654, 375.8212518145]",0.5,10000,10,31685.9618150527,100,0.8,0.05,115070.2851691214,"[3, 9, 9, 4, 2, 6, 2, 3, 3, 5]",6,1.6666666667,9,9,90000,25070.2851691214,338446.0841963914,115882.667888339,2659208.000527623,2933272.4367006663
Case: 0119,"[0.1494159733, 0.1757732829, 0.0011273602, 0.0124780051, 0.1485737238, 0.0762683085, 0.1299589325, 0.1316208232, 0.128882326, 0.0459012645]","[3.4032518463, 0.2332303287, 0.0025655873, 0.3683635103, 0.4076042865, 0.0649021087, 0.2758620145, 0.5542712609, 0.6900344343, 0.1560303361]",71704.3933309187,"[4, 8, 10, 3, 6, 9, 6, 3, 4, 8]",26193.9959988594,100,"[922.7515013921, 212.4580865204, 337.9176159809, 994.1032256049, 353.0497257417, 215.0556574889, 300.8128031853, 456.5594987608, 471.2711474047, 393.8576098853]",0.5,10000,10,21743.1312278927,100,0.8,0.05,71704.3933309187,"[4, 8, 10, 3, 6, 9, 6, 3, 4, 8]",6,1.6666666667,5,5,50000,21704.3933309187,310526.0441933447,79559.5137332646,1872742.3777601023,2226420.393424903
Case: 0120,"[0.012193856, 0.2343739676, 0.0330494681, 0.0115664443, 0.0694551263, 0.0811617507, 0.123952122, 0.0903620187, 0.0495001847, 0.0295292287, 0.0365443518, 0.034157401, 0.0109257422, 0.0149820896, 0.0186536932, 0.0144839848, 0.0106170175, 0.07549639, 0.0132442133, 0.0357509497]","[0.2432066566, 0.2109014439, 0.0829747211, 0.1711288688, 0.0821096621, 0.3000193823, 0.3827623317, 0.0566970593, 9.2710150126, 0.04868517, 3.3565483464, 0.3144404664, 0.0450086525, 0.052657124, 0.0541097444, 0.0325387801, 0.0121285904, 0.5927151907, 0.0581044788, 0.6013625109]",116636.6879641715,"[14, 15, 9, 7, 16, 14, 7, 18, 3, 15, 5, 9, 14, 16, 16, 18, 19, 7, 16, 8]",45613.0712919235,100,"[783.1899224687, 251.718485539, 346.204937996, 748.2532842902, 229.025018463, 417.8730016089, 396.1344942441, 138.9294885942, 1000.0, 318.6159921317, 994.0967039017, 647.5141773753, 470.9660660022, 458.4220440968, 370.4120650433, 306.2626157897, 282.2846375136, 649.2514960414, 500.4677758667, 803.1562978739]",0.5,10000,20,21409.4899098416,100,0.8,0.05,116636.6879641715,"[14, 15, 9, 7, 16, 14, 7, 18, 3, 15, 5, 9, 14, 16, 16, 18, 19, 7, 16, 8]",10,2.0,9,8,90000,26636.6879641715,803986.9840212701,166074.3088791076,13267965.99492995,13487137.775596078
Case: 0022,"[0.2009898792, 0.0652215678, 0.0244396959, 0.0115858743, 0.0719372244, 0.0355363935, 0.0010729391, 0.0392758319, 0.041415522, 0.0005455345, 0.0183291707, 0.0152808981, 0.0489932888, 0.0081972638, 0.0322797723, 0.2100093048, 0.0003268864, 0.0095112791, 0.1155845556, 0.0494671179]","[0.225839448, 0.2943428809, 0.1478742936, 0.0453223659, 0.2406652789, 0.4648117252, 0.0068042968, 0.5843727797, 0.1708971084, 0.0119767501, 0.174735313, 0.3516055233, 0.5561687084, 0.095786589, 0.3948046933, 0.7028437142, 0.0007485877, 0.292271128, 0.4530609432, 0.3244334385]",537954.036818773,"[16, 8, 12, 16, 13, 4, 18, 4, 14, 11, 7, 14, 13, 2, 2, 9, 17, 8, 12, 11]",35573.6865539551,1,"[58.1181147211, 297.2827716874, 396.958959777, 243.9478453847, 265.4492021914, 679.7128550628, 438.787568333, 745.6299780151, 315.1341513692, 836.7942107869, 575.1019205962, 933.5650696682, 615.4014727583, 602.2653226119, 671.614896005, 253.3493207358, 168.9132156875, 985.6688726941, 328.4024182069, 486.4522193973]",0.5,100000,20,16817.1971399973,100,0.8,0.05,537954.036818773,"[16, 8, 12, 16, 13, 4, 18, 4, 14, 11, 7, 14, 13, 2, 2, 9, 17, 8, 12, 11]",12,1.6666666667,5,4,500000,37954.036818773,1977420.6841908,897155.7715538217,9223292.341006761,9506023.30657233
Case: 0023,"[0.168240523, 0.0171394574, 0.0393325924, 0.0726729623, 0.3969588279, 0.0331923913, 0.123470684, 0.011203639, 0.0574736979, 0.0803152249]","[0.1050838185, 0.043213282, 0.0535010876, 0.1366538682, 0.1631623436, 0.2396418894, 0.1306669977, 6.6724162212, 0.2114963356, 0.084934209]",869685.824005916,"[5, 5, 9, 4, 7, 6, 5, 3, 3, 8]",16321.2349669933,1,"[154.411442894, 416.0353635603, 240.3799922711, 313.4953375977, 136.0802232676, 687.63266233, 215.733475111, 958.9633622796, 522.0438349208, 179.1109777876]",0.5,100000,10,11197.9235423612,100,0.8,0.05,869685.824005916,"[5, 5, 9, 4, 7, 6, 5, 3, 3, 8]",7,1.4285714286,8,8,800000,69685.824005916,1014473.1481314613,980138.8023785134,3530055.1029572375,3332241.7789261667
Case: 0029,"[0.0134294318, 0.2266981125, 0.0362319998, 0.1260566479, 0.0885987514, 0.0043806281, 0.175002553, 0.1666190069, 0.0025706795, 0.1604121891]","[0.0441674538, 1.6944103603, 0.0294698249, 0.3775417808, 10.0872536148, 0.034907084, 0.7071847773, 0.2232867548, 0.0043103107, 0.5844902435]",523324.988595381,"[9, 3, 9, 7, 3, 8, 7, 8, 9, 7]",19457.1445939541,100,"[345.7094833417, 552.9328739298, 198.8730239406, 397.089734937, 975.0095607847, 615.2161197684, 422.8250082404, 252.490946075, 299.1042333094, 434.028292553]",0.5,100000,10,23139.5063997565,100,0.8,0.05,523324.988595381,"[9, 3, 9, 7, 3, 8, 7, 8, 9, 7]",4,2.5,5,5,500000,23324.988595381,710243.0831826353,524206.2136323866,1655541.0525607853,1717358.5527496894
